Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
2143,25,69,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz']",2238.0,6970.061541,61.61656648,0.7,84.47399999999999
2144,25,70,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",3094.0,7631.222487,57.681764064999996,0.65,86.81575
2145,25,71,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",4677.0,8408.466816,61.843103764999995,0.7,88.07925
2146,25,72,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",4396.0,8333.383561,67.461685535,0.75,80.95899999999999
2147,25,73,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",2569.0,7206.216097,44.65589821,0.5,85.842
2148,25,74,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",3051.0,7666.8176650000005,56.248218715,0.65,71.9245
2149,25,75,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",2205.0,7232.279063,65.586616395,0.75,85.78975
2150,25,76,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",3069.0,7437.374830999999,69.93007183,0.8,80.87349999999999
2151,25,77,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz']",5172.0,8703.623295,61.23949945,0.7,83.11075
2152,25,78,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz']",2499.0,7324.89276,69.613682625,0.8,85.17224999999999
2153,25,79,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz']",5236.0,8828.876495999999,67.40928918,0.75,81.03024999999998
2154,25,80,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz']",4278.0,8198.089362,66.02047801,0.75,85.43350000000001
2155,25,81,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz']",3360.0,7857.829094000001,62.767306565,0.7,87.82749999999999
2156,25,82,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz']",2560.0,7095.615863999999,57.54150658499999,0.65,86.75399999999999
2157,25,83,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz']",3200.0,7487.388849999999,56.949901874999995,0.65,87.5235
2158,25,84,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz']",2440.0,7085.017205,66.01920366,0.75,86.4215
2159,25,85,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz']",2660.0,7137.362004,70.57894766,0.8,87.18149999999999
2160,25,86,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz']",5280.0,8777.064801,62.774284179999995,0.7,88.787
2161,25,87,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz']",3800.0,8092.215776999999,65.7854256,0.75,88.73949999999999
2162,25,88,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz']",4420.0,8545.773267999999,44.538664815,0.5,89.01024999999998
2163,25,89,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz']",2238.0,6970.061541,61.61656648,0.7,84.47399999999999
2164,25,90,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",3094.0,7631.222487,57.681764064999996,0.65,86.81575
2165,25,91,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",4677.0,8408.466816,61.843103764999995,0.7,88.07925
2166,25,92,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",4396.0,8333.383561,67.461685535,0.75,80.95899999999999
2167,25,93,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",2569.0,7206.216097,44.65589821,0.5,85.842
2168,25,94,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",3051.0,7666.8176650000005,56.248218715,0.65,71.9245
2169,25,95,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",2205.0,7232.279063,65.586616395,0.75,85.78975
2170,25,96,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",3069.0,7437.374830999999,69.93007183,0.8,80.87349999999999
2171,25,97,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz']",5172.0,8703.623295,61.23949945,0.7,83.11075
2172,25,98,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz']",2499.0,7324.89276,69.613682625,0.8,85.17224999999999
2173,25,99,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz']",5236.0,8828.876495999999,67.40928918,0.75,81.03024999999998
2174,25,100,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz']",4278.0,8198.089362,66.02047801,0.75,85.43350000000001
2175,26,27,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz']",6420.0,9731.918574,57.98076212,0.6499999999999999,90.34499999999998
2176,26,28,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz']",7040.0,10185.476064999999,36.734001335,0.4,90.61575
2177,26,29,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz']",4858.0,8609.764338,53.811903,0.6,86.0795
2178,26,30,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",5714.0,9270.925284,49.877100585,0.55,88.42125
2179,26,31,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",7297.0,10048.169613,54.038440285,0.6,89.68475
2180,26,32,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",7016.0,9973.086358,59.657022055,0.6499999999999999,82.5645
2181,26,33,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",5189.0,8845.918894,36.85123473,0.4,87.4475
2182,26,34,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",5671.0,9306.520462,48.443555235000005,0.55,73.53
2183,26,35,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",4825.0,8871.98186,57.781952915000005,0.6499999999999999,87.39525
2184,26,36,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",5689.0,9077.077628,62.12540835,0.7,82.47899999999998
2185,26,37,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz']",7792.0,10343.326092,53.43483597,0.6,84.71625
2186,26,38,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz']",5119.0,8964.595557,61.80901914499999,0.7,86.77775
2187,26,39,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz']",7856.0,10468.579292999999,59.6046257,0.6499999999999999,82.63575
2188,26,40,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz']",6898.0,9837.792159,58.21581453,0.6499999999999999,87.039
2189,26,41,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz']",5980.0,9497.531891,54.962643084999996,0.6,89.43299999999999
2190,26,42,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz']",5180.0,8735.318661000001,49.736843105,0.55,88.3595
2191,26,43,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz']",5820.0,9127.091647000001,49.145238395,0.55,89.12899999999999
2192,26,44,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz']",5060.0,8724.720002,58.21454018,0.6499999999999999,88.02699999999999
2193,26,45,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz']",5280.0,8777.064801,62.774284179999995,0.7,88.787
2194,26,46,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz']",7900.0,10416.767598,54.9696207,0.6,90.3925
2195,26,47,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz']",6420.0,9731.918574,57.98076212,0.6499999999999999,90.34499999999998
2196,26,48,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz']",7040.0,10185.476064999999,36.734001335,0.4,90.61575
2197,26,49,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz']",4858.0,8609.764338,53.811903,0.6,86.0795
2198,26,50,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",5714.0,9270.925284,49.877100585,0.55,88.42125
2199,26,51,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",7297.0,10048.169613,54.038440285,0.6,89.68475
2200,26,52,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",7016.0,9973.086358,59.657022055,0.6499999999999999,82.5645
2201,26,53,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",5189.0,8845.918894,36.85123473,0.4,87.4475
2202,26,54,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",5671.0,9306.520462,48.443555235000005,0.55,73.53
2203,26,55,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",4825.0,8871.98186,57.781952915000005,0.6499999999999999,87.39525
2204,26,56,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",5689.0,9077.077628,62.12540835,0.7,82.47899999999998
2205,26,57,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz']",7792.0,10343.326092,53.43483597,0.6,84.71625
2206,26,58,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz']",5119.0,8964.595557,61.80901914499999,0.7,86.77775
2207,26,59,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz']",7856.0,10468.579292999999,59.6046257,0.6499999999999999,82.63575
2208,26,60,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz']",6898.0,9837.792159,58.21581453,0.6499999999999999,87.039
2209,26,61,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz']",5980.0,9497.531891,54.962643084999996,0.6,89.43299999999999
2210,26,62,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz']",5180.0,8735.318661000001,49.736843105,0.55,88.3595
2211,26,63,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz']",5820.0,9127.091647000001,49.145238395,0.55,89.12899999999999
