Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
23,1,2,3,6,7,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz']",11550.0,21466.709376,51.748422262,0.58,83.338
24,1,2,3,6,8,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz']",12170.0,21920.266867,43.249717948,0.48,83.452
25,1,2,3,6,9,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz']",9988.0,20344.55514,50.080878614,0.5599999999999999,81.542
26,1,2,3,6,10,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",10844.0,21005.716086,48.506957648000004,0.54,82.52799999999999
27,1,2,3,6,11,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",12427.0,21782.960415,50.171493528,0.5599999999999999,83.06
28,1,2,3,6,12,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",12146.0,21707.87716,52.418926236000004,0.58,80.062
29,1,2,3,6,13,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",10319.0,20580.709696,43.296611306,0.48,82.11800000000001
30,1,2,3,6,14,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",10801.0,21041.311264,47.933539508,0.54,76.25800000000001
31,1,2,3,6,15,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",9955.0,20606.772662,51.66889858,0.58,82.096
32,1,2,3,6,16,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",10819.0,20811.868430000002,53.406280754,0.6,80.026
