Unnamed: 0,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,2030,784,93.13,4.289148092,4289.148092,0.233146531,4048.837209,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz,203,203,203,203,203,203,203,203,203,203,"[0.0, 86.65024638175964, 0.0, 91.03448390960693, 92.21674799919128, 92.8078830242157, 93.34975481033325, 93.49753856658936, 0.0, 0.0]",54.95566547,0.6
1,2,IID,1230,784,90.87,3.526934862,3526.934862,0.283532313,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz,123,123,123,123,123,123,123,123,123,123,"[0.0, 84.71544981002808, 87.31707334518433, 89.34959173202515, 0.0, 0.0, 0.0, 91.30081534385681, 92.35772490501404, 0.0]",44.50406551,0.5
2,3,IID,1870,784,92.49,3.918707848,3918.707848,0.255186158,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz,187,187,187,187,187,187,187,187,187,187,"[64.97326493263245, 0.0, 0.0, 90.58823585510254, 91.71122908592224, 92.72727370262146, 93.20855736732483, 0.0, 0.0, 0.0]",43.32085609,0.5
3,4,IID,1110,784,90.17,3.516336203,3516.336203,0.284386914,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz,111,111,111,111,111,111,111,111,111,111,"[66.0360336303711, 0.0, 0.0, 89.18918967247009, 90.18018245697021, 91.44144058227539, 92.43243336677551, 0.0, 92.16216206550598, 93.1531548500061]",61.45945966,0.7
4,5,IID,1330,784,91.77,3.568681002,3568.681002,0.280215575,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz,133,133,133,133,133,133,133,133,133,133,"[66.24060273170471, 86.54135465621948, 89.92481231689453, 91.12781882286072, 91.42857193946838, 93.08270812034607, 93.68420839309692, 93.75939965248108, 0.0, 0.0]",70.57894766,0.8
5,6,IID,3950,784,95.15,5.208383799,5208.383799,0.19199814,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz,395,395,395,395,395,395,395,395,395,395,"[0.0, 86.96202635765076, 89.2405092716217, 91.82278513908386, 0.0, 0.0, 93.34177374839783, 93.56961846351624, 0.0, 94.7594940662384]",54.9696207,0.6
6,7,IID,2470,784,95.05,4.523534775,4523.534775,0.221066058,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz,247,247,247,247,247,247,247,247,247,247,"[66.15384817123413, 85.50607562065125, 88.50202560424805, 0.0, 90.8906877040863, 0.0, 92.63157844543457, 93.03643703460693, 93.19838285446167, 0.0]",60.99190354,0.7
7,8,IID,3090,784,95.62,4.977092266,4977.092266,0.200920527,3868.888889,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz,309,309,309,309,309,309,309,309,309,309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 92.23300814628601, 92.75081157684326, 0.0]",18.49838197,0.2
8,9,NonIID,908,784,86.07,3.401380539,3401.380539,0.293998272,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz,45,22,152,30,305,76,127,81,39,31,"[62.99559473991394, 0.0, 0.0, 91.96035265922546, 92.07048416137695, 92.62114763259888, 93.17180514335632, 0.0, 0.0, 93.72246861457825]",52.6541853,0.6
9,10,NonIID,1764,784,91.0,4.062541485,4062.541485,0.246151333,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz,256,394,128,57,152,265,117,59,124,212,"[74.37641620635986, 0.0, 0.0, 0.0, 0.0, 92.91383028030396, 93.08390021324158, 93.70748400688171, 93.76417398452759, 0.0]",44.78458047,0.5
