Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
1206,13,98,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",7639.0,11339.611053466797,42.64589577913284,0.5,86.635725
1207,13,99,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",4759.0,9339.943408966064,49.0695995092392,0.6,100.0
1208,13,100,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",5219.0,9767.368078231812,53.43667089939117,0.6499999999999999,100.0
1209,14,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",4917.0,9141.207218170166,39.05790477991104,0.5,78.98205
1210,14,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",6129.0,9869.580507278442,63.176070153713226,0.8,83.34397499999999
1211,14,17,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",4999.0,8402.350664138794,57.61732339859009,0.75,79.36608749999999
1212,14,18,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",6011.0,9968.614101409912,42.892660200595856,0.55,35.216499999999996
1213,14,19,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",5747.0,9826.628923416138,47.39115238189697,0.6,71.0673625
1214,14,20,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_20_local.npz']",3147.0,7890.666007995605,58.55734318494797,0.75,70.95075
1215,14,21,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_21_local.npz']",3551.0,8340.576648712158,39.96542036533356,0.5,35.722375
