Unnamed: 0,Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
,10,1,2,3,4,5,7,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",13180.0,31622.488260269165,47.44589958872114,0.5857142857142856,72.38428571428572
,11,1,2,3,4,5,7,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",13640.0,32049.912929534912,48.693634271621704,0.6,72.12142857142858
,12,1,2,3,4,5,7,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",14390.0,32402.91738510132,44.36521036284311,0.5428571428571428,72.86428571428571
,13,1,2,3,4,5,7,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",13410.0,31557.244777679443,46.83836817741394,0.5714285714285714,72.23
,14,1,2,3,4,5,7,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",16219.0,33631.967306137085,48.26644948550633,0.5857142857142856,72.28714285714285
,15,1,2,3,4,5,7,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",14567.0,32365.880489349365,48.61023451600756,0.6,71.64999999999999
,16,1,2,3,4,5,7,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",14990.0,32689.838886260986,44.241630349840435,0.5428571428571428,72.53
,17,1,2,3,4,5,8,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",16020.0,33634.156465530396,41.92609650748117,0.5142857142857143,73.08571428571429
,18,1,2,3,4,5,8,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",16480.0,34061.58113479614,43.17383119038173,0.5285714285714286,72.82285714285715
,19,1,2,3,4,5,8,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",17230.0,34414.58559036255,38.84540728160313,0.4714285714285714,73.5657142857143
,20,1,2,3,4,5,8,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",16250.0,33568.912982940674,41.31856509617397,0.5,72.93142857142857
,21,1,2,3,4,5,8,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",19059.0,35643.635511398315,42.74664640426636,0.5142857142857143,72.98857142857142
,22,1,2,3,4,5,8,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",17407.0,34377.548694610596,43.09043143476759,0.5285714285714286,72.35142857142857
,23,1,2,3,4,5,8,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",17830.0,34701.50709152222,38.721827268600464,0.4714285714285714,73.23142857142857
,24,1,2,3,4,5,9,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",13600.0,32061.91349029541,45.00917511326926,0.5571428571428572,72.25
,25,1,2,3,4,5,9,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",14350.0,32414.917945861816,40.68075120449066,0.5,72.99285714285715
,26,1,2,3,4,5,9,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",13370.0,31569.24533843994,43.153909019061494,0.5285714285714286,72.35857142857142
,27,1,2,3,4,5,9,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",16179.0,33643.96786689758,44.58199032715389,0.5428571428571428,72.41571428571429
,28,1,2,3,4,5,9,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",14527.0,32377.881050109863,44.92577535765512,0.5571428571428572,71.77857142857144
,29,1,2,3,4,5,9,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",14950.0,32701.839447021484,40.557171191487996,0.5,72.65857142857143
