Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
12,1,2,3,5,6,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",9470.0,23278.294324874878,37.55139183998108,0.45999999999999996,72.592
13,1,2,3,5,7,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",8340.0,22319.828987121582,43.80532729625702,0.54,71.922
14,1,2,3,5,8,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",11180.0,24331.497192382812,36.07760298252106,0.44000000000000006,72.904
15,1,2,3,5,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",8300.0,22331.82954788208,38.6470844745636,0.48,72.102
16,1,2,3,5,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",8760.0,22759.254217147827,40.39391303062439,0.5,71.73400000000001
17,1,2,3,5,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",9510.0,23112.258672714233,34.33411955833435,0.42000000000000004,72.774
18,1,2,3,5,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",8530.0,22266.58606529236,37.79654049873352,0.45999999999999996,71.886
19,1,2,3,5,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",11339.0,24341.30859375,39.795854330062866,0.48,71.966
20,1,2,3,5,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",9687.0,23075.22177696228,40.27715337276459,0.5,71.074
21,1,2,3,5,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",10110.0,23399.1801738739,34.161107540130615,0.42000000000000004,72.306
22,1,2,3,5,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",11322.0,24127.553462982178,43.80837368965149,0.54,72.536
23,1,2,3,6,7,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",8140.0,22412.47868537903,43.712398290634155,0.54,71.8
24,1,2,3,6,8,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",10980.0,24424.14689064026,35.98467397689819,0.44000000000000006,72.782
25,1,2,3,6,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",8100.0,22424.479246139526,38.554155468940735,0.48,71.97999999999999
26,1,2,3,6,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",8560.0,22851.903915405273,40.300984025001526,0.5,71.612
27,1,2,3,6,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",9310.0,23204.90837097168,34.24119055271149,0.42000000000000004,72.652
28,1,2,3,6,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",8330.0,22359.235763549805,37.70361149311066,0.45999999999999996,71.764
29,1,2,3,6,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",11139.0,24433.958292007446,39.70292532444,0.48,71.84400000000001
30,1,2,3,6,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",9487.0,23167.871475219727,40.184224367141724,0.5,70.952
31,1,2,3,6,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",9910.0,23491.829872131348,34.06817853450775,0.42000000000000004,72.184
32,1,2,3,6,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",11122.0,24220.203161239624,43.715444684028625,0.54,72.414
33,1,2,3,7,8,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",9850.0,23465.681552886963,42.23860943317413,0.52,72.112
34,1,2,3,7,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",6970.0,21466.01390838623,44.808090925216675,0.5599999999999999,71.31
35,1,2,3,7,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",7430.0,21893.438577651978,46.554919481277466,0.58,70.94200000000001
36,1,2,3,7,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",8180.0,22246.443033218384,40.49512600898743,0.5,71.982
37,1,2,3,7,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",7200.0,21400.77042579651,43.9575469493866,0.54,71.09400000000001
38,1,2,3,7,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",10009.0,23475.49295425415,45.95686078071594,0.5599999999999999,71.174
39,1,2,3,7,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",8357.0,22209.40613746643,46.438159823417664,0.58,70.282
40,1,2,3,7,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",8780.0,22533.36453437805,40.32211399078369,0.5,71.514
41,1,2,3,7,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",9992.0,23261.737823486328,49.969380140304565,0.62,71.744
42,1,2,3,8,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",9810.0,23477.68211364746,37.08036661148071,0.45999999999999996,72.292
43,1,2,3,8,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",10270.0,23905.106782913208,38.827195167541504,0.48,71.924
