Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
3048,38,90,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",4915.0,23814.027070999146,29.432830810546875,0.6,47.525
3049,38,91,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",5680.0,26426.41282081604,27.496917843818665,0.6,50.144999999999996
3050,38,92,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",5500.0,26476.305723190308,30.57484060525894,0.6499999999999999,51.69
3051,38,93,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",5050.0,24409.00206565857,28.255612552165985,0.6,50.980000000000004
3052,38,94,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",4560.0,23049.22866821289,24.35262843966484,0.55,50.54
3053,38,95,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",4640.0,23433.429479599,20.859596133232117,0.44999999999999996,50.254999999999995
3054,38,96,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",2770.0,18330.647945404053,31.595445424318314,0.6499999999999999,44.705
3055,38,97,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",3160.0,19441.900968551636,36.066873371601105,0.75,45.935
3056,38,98,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",3720.0,21320.644855499268,28.564516305923465,0.6,47.33
3057,38,99,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",4670.0,24096.21524810791,31.62745401263237,0.6499999999999999,50.235
3058,38,100,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",4740.0,22112.536907196045,29.879480302333832,0.6499999999999999,49.599999999999994
3059,39,40,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",5690.0,24888.107299804688,32.94241800904274,0.7,52.504999999999995
3060,39,41,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz']",3850.0,21500.674962997437,29.34519588947296,0.6,47.79
3061,39,42,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",5030.0,24636.10887527466,27.95780822634697,0.55,51.685
3062,39,43,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",5666.0,26202.807426452637,32.86515384912491,0.6499999999999999,51.55
