Combination_ID,Client_1,Client_2,Client_3,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
3184,9,29,31,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",8461.0,39901.18861198425,29.111631214618683,0.6333333333333333,49.04
3185,9,29,32,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",8281.0,39951.08151435852,31.163579722245533,0.6666666666666666,50.07
3186,9,30,31,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",9685.0,42355.687856674194,30.473618805408478,0.6333333333333333,51.27333333333333
3187,9,30,32,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",9505.0,42405.58075904846,32.52556731303533,0.6666666666666666,52.303333333333335
3188,9,31,32,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",10270.0,45017.96650886536,31.234958668549854,0.6666666666666666,54.050000000000004
3189,10,11,12,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",6140.0,30717.212677001953,25.47322303056717,0.5333333333333333,48.18
3190,10,11,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",6776.0,32283.91122817993,28.744786779085796,0.6,48.089999999999996
3191,10,11,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",7704.0,35238.037109375,31.999275783697765,0.6666666666666666,44.79
3192,10,11,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",4731.0,27539.488554000854,25.627905627091724,0.5666666666666667,44.13333333333333
3193,10,11,16,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",4902.0,27865.87691307068,24.66427172223727,0.5666666666666667,40.92666666666667
3194,10,11,17,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",7105.0,33891.0391330719,22.09987501303355,0.5,48.07333333333333
3195,10,11,18,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",5267.0,28822.79348373413,25.797306845585506,0.5666666666666667,44.63999999999999
3196,10,11,19,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",7407.0,34739.38345909119,29.23458809653918,0.6333333333333333,48.72
3197,10,11,20,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",7265.0,33741.65463447571,29.472388128439587,0.6333333333333333,47.52
3198,10,11,21,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz']",6378.0,31297.83606529236,28.319493234157562,0.6,45.10999999999999
3199,10,11,22,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz']",7183.0,34144.917011260986,29.763966699441273,0.6333333333333333,47.830000000000005
3200,10,11,23,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz']",5423.0,28840.538024902344,23.000055352846783,0.5,41.593333333333334
3201,10,11,24,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz']",7240.0,33473.23250770569,27.402164141337078,0.6,47.32666666666666
3202,10,11,25,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz']",6172.0,30697.747468948364,27.424198885758717,0.6,46.5
3203,10,11,26,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz']",5893.0,30670.265436172485,26.771183907985687,0.5666666666666667,47.086666666666666
3204,10,11,27,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz']",6877.0,32529.614686965942,31.056247452894848,0.6333333333333333,44.35
3205,10,11,28,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz']",6191.0,30820.618629455566,23.274120489756267,0.5,47.03
3206,10,11,29,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz']",5751.0,30216.20202064514,27.13654230038325,0.6,45.10999999999999
3207,10,11,30,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",6975.0,32670.701265335083,28.498529891173046,0.6,47.343333333333334
3208,10,11,31,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",7740.0,35283.08701515198,27.207921246687572,0.6,49.089999999999996
3209,10,11,32,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",7560.0,35332.979917526245,29.259869754314423,0.6333333333333333,50.12
3210,10,12,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",7956.0,35419.34514045715,27.819861670335133,0.5666666666666667,50.68666666666667
3211,10,12,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",8884.0,38373.47102165222,31.0743506749471,0.6333333333333333,47.38666666666666
3212,10,12,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",5911.0,30674.922466278076,24.702980518341064,0.5333333333333333,46.73
3213,10,12,16,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",6082.0,31001.3108253479,23.739346613486607,0.5333333333333333,43.52333333333333
3214,10,12,17,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",8285.0,37026.47304534912,21.174949904282887,0.4666666666666666,50.669999999999995
3215,10,12,18,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",6447.0,31958.227396011353,24.872381736834843,0.5333333333333333,47.23666666666666
3216,10,12,19,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",8587.0,37874.81737136841,28.309662987788517,0.6,51.31666666666666
3217,10,12,20,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",8445.0,36877.08854675293,28.547463019688923,0.6,50.11666666666667
