,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
37,38,IID,800,43,24.4,3.342944383621216,3342.944383621216,0.2991374923553944,4198.28855721393,/content/drive/MyDrive/mlaas_weights_har/client_38.npz,160,160,160,160,160,"[24.403266608715057, 24.403266608715057, 20.000000298023224, 20.000000298023224, 20.000000298023224]",21.761306822299957,0.6
38,39,IID,965,43,25.09,3.576117515563965,3576.117515563965,0.2796328687879534,4688.0888888888885,/content/drive/MyDrive/mlaas_weights_har/client_39.npz,193,193,193,193,193,"[20.31088024377823, 20.1036274433136, 20.000000298023224, 20.000000298023224, 20.000000298023224]",20.0829017162323,1.0
39,40,IID,1080,43,24.43,3.4525015354156494,3452.5015354156494,0.2896450558361907,4822.034285714286,/content/drive/MyDrive/mlaas_weights_har/client_40.npz,216,216,216,216,216,"[20.277777314186096, 20.000000298023224, 20.000000298023224, 24.42537397146225, 20.000000298023224]",20.940630435943604,0.8
40,41,NonIID,592,43,22.47,2.6738293170928955,2673.8293170928955,0.373995450497657,4740.76404494382,/content/drive/MyDrive/mlaas_weights_har/client_41.npz,72,53,292,89,86,"[16.21621549129486, 22.474560141563416, 12.162162363529205, 22.474560141563416, 12.162162363529205]",17.09793210029602,0.6
41,42,NonIID,1832,43,9.63,4.053181409835815,4053.1814098358154,0.24671977365072037,4662.187845303867,/content/drive/MyDrive/mlaas_weights_har/client_42.npz,441,211,242,309,629,"[17.030568420886993, 24.072052538394928, 24.072052538394928, 9.630805999040604, 24.072052538394928]",19.775506407022476,0.8
42,43,NonIID,1720,43,9.63,3.930767774581909,3930.767774581909,0.25440322536132615,2803.5083056478406,/content/drive/MyDrive/mlaas_weights_har/client_43.npz,113,584,158,317,548,"[18.662790954113007, 6.569767743349075, 9.630805999040604, 6.569767743349075, 9.630805999040604]",10.212787687778473,0.6
43,44,NonIID,1763,43,25.03,6.0435404777526855,6043.540477752686,0.16546592244747468,4636.571428571428,/content/drive/MyDrive/mlaas_weights_har/client_44.npz,275,688,154,389,257,"[22.291548550128937, 25.02562403678894, 25.02562403678894, 15.598411858081818, 15.598411858081818]",20.70792406797409,0.6
44,45,NonIID,448,43,9.64,3.0116541385650635,3011.6541385650635,0.33204343991387447,4822.034285714286,/content/drive/MyDrive/mlaas_weights_har/client_45.npz,144,75,33,4,192,"[9.637504816055298, 32.14285671710968, 32.14285671710968, 9.637504816055298, 9.637504816055298]",18.63964557647705,0.4
45,46,NonIID,853,43,25.05,3.339116096496582,3339.116096496582,0.2994804526411062,2696.0255591054315,/content/drive/MyDrive/mlaas_weights_har/client_46.npz,243,306,6,59,239,"[6.9167643785476685, 28.487691283226013, 28.487691283226013, 25.04706084728241, 25.04706084728241]",22.797253727912903,0.6
46,47,NonIID,1990,43,24.43,5.446598052978516,5446.598052978516,0.18360084409995006,4586.173913043478,/content/drive/MyDrive/mlaas_weights_har/client_47.npz,323,48,742,404,473,"[20.75376957654953, 24.42537397146225, 24.42537397146225, 16.231155395507812, 24.42537397146225]",22.05220937728882,0.4
