Unnamed: 0,Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
,10,1,2,3,4,5,6,7,8,10,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",23891.0,117079.69951629639,27.99004477262497,0.61,49.448
,11,1,2,3,4,5,6,7,8,11,12,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",23460.0,116869.99130249023,27.224195569753647,0.58,49.719
,12,1,2,3,4,5,6,7,8,11,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",24096.0,118436.68985366821,28.205664694309235,0.6,49.692
,13,1,2,3,4,5,6,7,8,11,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",25024.0,121390.81573486328,29.182011395692825,0.62,48.702
,14,1,2,3,4,5,6,7,8,11,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",22051.0,113692.26717948914,27.270600348711014,0.59,48.505
,15,1,2,3,4,5,6,7,8,12,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",25276.0,121572.12376594543,27.928187161684036,0.59,50.471
,16,1,2,3,4,5,6,7,8,12,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",26204.0,124526.2496471405,28.904533863067627,0.61,49.481
,17,1,2,3,4,5,6,7,8,12,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",23231.0,116827.70109176636,26.993122816085815,0.58,49.284
,18,1,2,3,4,5,6,7,8,13,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",26840.0,126092.94819831848,29.886002987623215,0.63,49.454
,19,1,2,3,4,5,6,7,8,13,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",23867.0,118394.39964294434,27.974591940641403,0.6,49.257
