Combination_ID,Client_1,Client_2,Client_3,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
2255,6,18,19,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_19_local.npz']",3229.0,19894.61851119995,49.77022806803385,0.5666666666666667,87.95
2256,6,18,20,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_20_local.npz']",3026.0,19667.14358329773,62.306955456733704,0.7000000000000001,88.31
2257,6,18,21,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_21_local.npz']",3237.0,19411.461353302002,61.349915862083435,0.7000000000000001,87.77333333333333
2258,6,18,22,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_22_local.npz']",2684.0,19403.162240982056,56.17928683757782,0.6333333333333333,87.55
2259,6,18,23,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_23_local.npz']",1948.0,19040.65775871277,64.04658158620198,0.7333333333333334,87.23666666666668
2260,6,18,24,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_24_local.npz']",1808.0,18901.4630317688,56.65442109107971,0.6333333333333333,82.56333333333333
2261,6,18,25,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_25_local.npz']",2146.0,18552.361011505127,59.395190477371216,0.6666666666666666,84.15666666666667
2262,6,18,26,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_26_local.npz']",2282.0,18625.919818878174,47.431138356526695,0.5333333333333333,87.8
2263,6,18,27,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_27_local.npz']",2917.0,19039.25657272339,50.14643371105194,0.5666666666666667,88.00999999999999
2264,6,18,28,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_18_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_28_local.npz']",3021.0,19617.58041381836,55.69200336933136,0.6333333333333333,87.21999999999998
