Unnamed: 0,Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
,10,1,2,3,4,5,6,7,8,10,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",11348.0,67214.37215805054,57.228539288043976,0.64,88.16499999999999
,11,1,2,3,4,5,6,7,8,11,12,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",11650.0,66578.05871963501,56.406657695770264,0.63,88.491
,12,1,2,3,4,5,6,7,8,11,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",11241.0,66108.63161087036,58.32213795185089,0.65,87.98599999999999
,13,1,2,3,4,5,6,7,8,11,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",12529.0,67524.90878105164,58.217850625514984,0.65,88.585
,14,1,2,3,4,5,6,7,8,11,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",11178.0,66649.8327255249,58.24054551124573,0.65,88.18199999999999
,15,1,2,3,4,5,6,7,8,12,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",10761.0,65818.17507743835,56.46957767009735,0.63,87.938
,16,1,2,3,4,5,6,7,8,12,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",12049.0,67234.45224761963,56.365290343761444,0.63,88.537
,17,1,2,3,4,5,6,7,8,12,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",10698.0,66359.3761920929,56.38798522949219,0.63,88.13399999999999
,18,1,2,3,4,5,6,7,8,13,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",11640.0,66765.02513885498,58.28077059984207,0.65,88.032
,19,1,2,3,4,5,6,7,8,13,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",10289.0,65889.94908332825,58.303465485572815,0.65,87.62899999999999
